Dataset,Model,RMSE,MAPE,Directional_Accuracy,inference_time,Type,MSE,MAE,Strategy_Return_Pct
BTC_Daily,holt_winters,1280.4504917917075,1.4308287122355745,50.0,0.007682903607686361,classical,3621650.7843002407,1280.4504917917075,-0.034020414940820934
BTC_Daily,timegpt,1492.7926791666666,1.6801858329985817,50.0,2.8836215496063233,foundation,3496798.949134697,1492.7926791666666,0.09801934008934737
BTC_Daily,moirai,1619.7588541666667,1.8196516738231414,46.666666666666664,0.06826181411743164,foundation,4742903.864607748,1619.7588541666667,0.18970371671336536
BTC_Daily,chronos,1244.6661458333333,1.3933238508327317,50.0,0.018235405286153156,foundation,3016216.0048258463,1244.6661458333333,-0.2144951256984733
BTC_Daily,llama3_local,2432.562020833335,2.7480636273747883,50.0,1.4406099955240885,llm_local,8423384.90134885,2432.562020833335,0.17825288071099793
BTC_Monthly,arima,8623.844677521427,8.962770496393238,25.0,0.08196220795313518,classical,107703954.83429301,8623.844677521427,-1.2001468337041972
BTC_Monthly,ses,8494.366147454139,8.760663884124506,50.0,0.0016418298085530598,classical,101712111.14270186,8494.366147454139,1.0671944394015642
BTC_Monthly,holt,8483.28376896326,8.845695162664375,50.0,0.002320587635040283,classical,106240825.07948667,8483.28376896326,-0.023504139112677642
BTC_Monthly,holt_winters,11945.235382581226,12.5752324732185,25.0,0.0055552323659261065,classical,192702095.1158395,11945.235382581226,-4.620458623989129
BTC_Monthly,timegpt,9469.081932291667,9.945831952267879,25.0,2.951355218887329,foundation,144001920.56720373,9469.081932291667,-4.376279537485617
BTC_Monthly,moirai,10256.741536458334,10.628767719318693,50.0,0.07125991582870483,foundation,158948753.06196594,10256.741536458334,-0.559268497943633
BTC_Monthly,chronos,9147.457682291666,9.467754400139507,41.666666666666664,0.021190683046976726,foundation,125367029.66594951,9147.457682291666,-5.428564442084308
BTC_Monthly,llama3_local,27346.871640625,27.967488975743134,41.666666666666664,1.5454545219739277,llm_local,1847152357.59406,27346.871640625,2.626809667234807
US_CPI_Monthly,arima,0.4611276514576493,0.1434284080653728,83.33333333333333,0.10815918445587158,classical,0.3102238106528877,0.4611276514576493,0.21856878691310375
US_CPI_Monthly,ses,0.7289767048655923,0.22624774851065846,16.666666666666668,0.0016190409660339355,classical,0.7062999404789981,0.7289767048655923,-0.18175366038066013
US_CPI_Monthly,holt,0.41402846294945067,0.12862107609082815,83.33333333333333,0.002165536085764567,classical,0.26414552306542854,0.41402846294945067,0.21856878691310375
US_CPI_Monthly,holt_winters,0.9014215962156603,0.27961217397970506,50.0,0.005381564299265544,classical,1.1896436919037598,0.9014215962156603,0.01778700311766901
US_CPI_Monthly,timegpt,0.5559374999999989,0.1728031394756077,83.33333333333333,3.116144915421804,foundation,0.5503371464249962,0.5559374999999989,0.21856878691310375
US_CPI_Monthly,moirai,0.8266183064778639,0.2569948957831138,75.0,0.07086845239003499,foundation,0.8730968115770866,0.8266183064778639,0.17073881207582878
US_CPI_Monthly,chronos,0.6049104817708345,0.18831782862342503,75.0,0.020683705806732178,foundation,0.6407867531851208,0.6049104817708345,0.1845025411675302
US_CPI_Monthly,llama3_local,1.3524999999999967,0.4205780261980385,25.0,1.271678388118744,llm_local,5.058091333333362,1.3524999999999967,-0.1082178009212816
