Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
SP500_Daily,5,holt,classical,156,6348.6802872747785,66.4598554366679,57.76985723628717,1.094668073604976,53.205128205128204,0.12247865628574392,0.006544056611183362,2.3596257331301045,6.464589706334187,5.412287211790758
SP500_Daily,5,timegpt,foundation,156,7102.293576846558,70.11034697839484,61.25204697616186,1.1545050020130532,54.48717948717949,0.07833044983441895,2.393376941864307,1.4992643639060763,7.096340758469088,2.926601642004135
SP500_Daily,5,moirai,foundation,156,9791.734127991782,80.85042671917024,71.22176231971153,1.3426617201368778,46.794871794871796,-0.0367015721664678,0.07807467381159465,-0.7000291574537687,11.137821040888007,-0.8642077000476602
SP500_Daily,5,chronos,foundation,156,6238.841387035755,66.48359403816828,58.037812374799685,1.1052962343576707,50.64102564102564,0.07804782041061195,0.06611578586773995,1.4938064671230153,4.49195701345362,4.605350143004263
SP500_Daily,5,timesfm,foundation,156,40601.92492304162,188.83478937361164,167.72215701372195,3.232218631397193,40.38461538461539,-0.0860690249246784,0.06211485312535213,-1.648918018567019,15.89461347213024,-1.2707041750573829
SP500_Daily,5,gemma4_local,llm_local,156,11861.434098337855,81.3050306761447,72.2003848407452,1.3751814367122002,46.794871794871796,-0.08665851579270334,2.9668348935934215,-1.66033545010021,20.993190027472146,-0.9677411017212211
SP500_Daily,5,qwen3_local,llm_local,156,9692.68301999776,77.6231939006267,68.34335872395835,1.2956906504158723,52.56410256410256,0.08615018966940428,5.053161526337648,1.6627544267818481,7.379477831810075,3.142151562316908
EURUSD_Daily,1,naive,naive,157,2.3189277641856013e-05,0.0035134113518295747,0.0035134113518295747,0.3212379796040419,0.0,0.0,0.00019508106693340714,0.0,0.0,0.0
EURUSD_Daily,1,arima,classical,157,2.3189277641856013e-05,0.0035134113518295747,0.0035134113518295747,0.3212379796040419,0.0,0.0,0.0874285561263941,0.0,0.0,0.0
EURUSD_Daily,1,ses,classical,157,2.3188929205990356e-05,0.0035133658791656557,0.0035133658791656557,0.3212339107070019,52.86624203821656,0.03225119277678727,0.0012893661571915741,1.1593716951610964,3.80979115667054,2.152598709303975
EURUSD_Daily,1,holt,classical,157,2.3230894416072618e-05,0.0035151528849953996,0.0035151528849953996,0.321404026974954,51.59235668789809,0.02265698824558656,0.006231552476336243,0.8133725593700237,3.416863108094305,1.6437565475035225
EURUSD_Daily,1,timegpt,foundation,157,3.2143854942761714e-05,0.003947391000735537,0.003947391000735537,0.3605147128324192,57.32484076433121,0.0487535664879621,2.5041977281023744,1.7586790528802108,2.401052260191368,5.329116833273294
EURUSD_Daily,1,moirai,foundation,157,4.679068917201398e-05,0.0049396092724648295,0.0049396092724648295,0.4513795577921413,51.59235668789809,-0.018259235002992202,0.07501049558068537,-0.6551924741031778,9.133577542146302,-0.5179862596765675
EURUSD_Daily,1,chronos,foundation,157,3.210195010832808e-05,0.004341846818377254,0.004341846818377254,0.3971493430775444,45.22292993630573,-0.03956317035128816,0.03813380496517108,-1.4241550463267534,9.58125412193422,-1.01353250182719
EURUSD_Daily,1,timesfm,foundation,157,8.967628616040021e-05,0.007762051691674878,0.007762051691674878,0.7085497172760821,53.503184713375795,0.03698431269955422,0.059012141197350376,1.3306444382042117,3.416863108094305,2.780087691874317
EURUSD_Daily,1,gemma4_local,llm_local,157,4.8457225131434654e-05,0.005071021523445293,0.005071021523445293,0.4627613611830206,59.23566878980892,0.046187609634532764,0.8925530029709932,1.6650640661294227,4.8502908292357185,2.4881892190505583
EURUSD_Daily,1,qwen3_local,llm_local,157,2.9129324615434934e-05,0.004130684190495025,0.004130684190495025,0.377607348759978,55.4140127388535,0.004792045774738742,1.848928469761162,0.17181493828236294,6.090526584855444,0.1586878077952061
EURUSD_Daily,5,naive,naive,156,6.622478024993216e-05,0.006842255838434949,0.005945750230397932,0.5413676427590627,0.0,0.0,0.00022588632045648037,0.0,0.0,0.0
EURUSD_Daily,5,arima,classical,156,6.622478024993216e-05,0.006842255838434949,0.005945750230397932,0.5413676427590627,0.0,0.0,0.0861358887110001,0.0,0.0,0.0
EURUSD_Daily,5,ses,classical,156,6.622469410144027e-05,0.006842255739106055,0.005945745594786648,0.5413671171152723,53.205128205128204,0.033144650824089315,0.0013788571724524866,1.1880467026535775,3.80979115667054,2.216194269951023
EURUSD_Daily,5,holt,classical,156,6.699273993493332e-05,0.006867007780417626,0.005969363872333502,0.5435070182121979,51.92307692307692,0.02348894498179117,0.0061299663323622485,0.8407659398965472,3.416863108094305,1.70817108197101
EURUSD_Daily,5,timegpt,foundation,156,7.960165969013486e-05,0.007444848110346429,0.0065050312647971145,0.5926901900500798,57.05128205128205,0.04837936971799819,2.571357487103878,1.7396769400761416,2.401052260191368,5.284144575785502
EURUSD_Daily,5,moirai,foundation,156,8.879648008399514e-05,0.007980432601982243,0.00698007284066616,0.6354670542133067,53.84615384615385,-0.013926581323565045,0.06977447485312438,-0.49803393590117356,7.207929640261397,-0.5115426239818669
EURUSD_Daily,5,chronos,foundation,156,7.914061300797633e-05,0.007605762252413446,0.0067105875565455515,0.6109313586759251,46.794871794871796,-0.04485979031454845,0.05903068414101234,-1.6117509964401016,9.654611851890643,-1.1299671416894679
EURUSD_Daily,5,timesfm,foundation,156,0.00037351101633853126,0.017318212505347336,0.01514499355585147,1.3754859422790398,53.205128205128204,0.036534671995049235,0.05529240767161051,1.3103540092997015,3.416863108094305,2.743322504841352
EURUSD_Daily,5,gemma4_local,llm_local,156,0.0001670112763117422,0.010384663648884431,0.009225161161178205,0.8378980497197153,61.53846153846154,0.06896789171568038,1.7933217516312232,2.49563876520532,4.725264271260078,3.9550435303528584
EURUSD_Daily,5,qwen3_local,llm_local,156,7.771287066446459e-05,0.007675823467330663,0.006699499863844663,0.6091755606926762,56.41025641025641,0.006503871541183379,3.2531076165346,0.23249747506010146,5.944736895489223,0.23575125632248162
EURUSD_Monthly,1,naive,naive,36,0.0005081124573389989,0.0181424253516727,0.0181424253516727,1.647871539060165,0.0,0.0,0.00025278329849243164,0.0,0.0,0.0
EURUSD_Monthly,1,arima,classical,36,0.0006170646767987225,0.019597280456449866,0.019597280456449866,1.7726714703536983,50.0,0.2690834480372985,0.07240439785851373,0.4803020656541561,8.042969832627259,0.3793087916039708
EURUSD_Monthly,1,ses,classical,36,0.0005090916461410857,0.018158243875253777,0.018158243875253777,1.6493248258577915,50.0,0.11999619725004892,0.001000152693854438,0.19862178602098662,9.514906225118784,0.12505216217400666
EURUSD_Monthly,1,holt,classical,36,0.0005340671783940545,0.018661773970144735,0.018661773970144735,1.6954181168102285,50.0,-0.26658219538507466,0.001383046309153239,-0.4442215917557166,13.140712314928143,-0.25863101732482313
EURUSD_Monthly,1,timegpt,foundation,36,0.0008062582588682433,0.02322054876217314,0.02322054876217314,2.104467591434973,41.666666666666664,-0.06498399645206991,2.4638143910302057,-0.10743542421518172,11.197020414464232,-0.09210735804802954
EURUSD_Monthly,1,moirai,foundation,36,0.001087046501007747,0.024600356817245483,0.024600356817245483,2.2254585842415313,61.111111111111114,0.2815286629731518,0.06752606232961018,0.46958579993103855,8.341574259617055,0.38016711526943586
EURUSD_Monthly,1,chronos,foundation,36,0.0006544370253022997,0.02136741744147408,0.02136741744147408,1.942549897448529,38.888888888888886,-0.130058420663529,0.08493099610010783,-0.21534075026910468,13.559496831792822,-0.13266452418354863
EURUSD_Monthly,1,timesfm,foundation,36,0.004135917588190593,0.05811475879616209,0.05811475879616209,5.244151390940511,44.44444444444444,-0.37328139698704255,0.05481256379021539,-0.6271369330704317,13.704051632243347,-0.33768729419267296
